data_size(MB),time(ms)
20,1.112
121,7.613
200,15.727
420,24.603
78,5.105
120,9.395
220,13.301
57,3.821
46,3.197
5,1.036
70,5.639
40,1.506
242,17.117
400,27.924
840,48.550
157,12.591
240,16.845
440,25.584
114,9.274
160,11.844
93,7.595
140,8.709
80,6.355
484,33.424
800,55.822
1680,1000000000.000
314,21.845
480,33.685
880,50.170
229,16.111
320,21.066
186,14.283
173,10.710
280,16.299
968,66.440
1600,1000000000.000
2560,1000000000.000
628,43.359
960,65.860
1360,1000000000.000
458,31.650
640,44.338
373,25.867
560,32.126
