data_size(MB),time(ms)
20,1.038
121,4.273
200,6.494
420,13.205
78,2.697
120,4.085
220,7.341
57,2.195
46,1.703
5,0.473
70,2.451
40,1.531
242,8.060
400,11.895
840,25.013
157,5.099
240,7.804
440,13.326
114,4.080
160,5.012
93,3.105
140,4.520
80,2.694
484,14.682
800,23.738
1680,49.519
314,10.539
480,15.100
880,25.958
229,7.042
320,9.585
186,5.811
173,5.988
280,8.831
968,28.329
1600,46.506
2560,74.354
628,20.676
960,28.148
1360,39.594
458,15.205
640,18.765
373,11.296
560,16.460
