data_size(MB),time(ms)
8,0.889
48,4.354
80,6.961
408,30.903
30,2.991
208,16.102
21,2.296
11,1.648
108,8.512
16,1.988
24,2.569
58,4.860
96,8.171
160,12.963
816,1000000000.000
60,5.311
416,27.360
42,3.890
64,5.511
216,14.654
33,3.258
116,7.930
32,3.184
192,15.771
320,25.609
1632,1000000000.000
120,9.979
832,1000000000.000
84,7.100
128,10.891
400,31.711
66,5.737
232,13.716
384,30.794
640,1000000000.000
3136,1000000000.000
240,19.510
1664,1000000000.000
52,4.423
256,20.660
132,10.973
464,34.980
