op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
dec-embedding,2747.726,2330.494,0.016,40.000,270.000,40.037,139.963,900.000
dec-self-attention,4583.406,5807.447,40.000,40.000,100.000,157.036,22.964,280.000
dec-mlp,5684.519,7388.639,40.000,40.000,200.000,240.034,19.966,400.000
dec-post-process,7505.703,10099.173,40.000,0.000,250.000,440.085,599.915,0.000
