op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
dec-embedding,1132.011,1246.929,0.008,20.000,145.000,20.019,59.981,520.000
dec-self-attention,1591.825,2056.694,20.000,20.000,50.000,57.270,42.730,100.000
dec-mlp,1670.456,2134.895,20.000,20.000,100.000,-24.056,24.056,60.000
dec-post-process,2010.441,2606.821,20.000,0.000,125.000,120.044,99.956,0.000
