data_size(MB),time(ms)
20,0.817
121,7.785
200,16.648
420,27.255
78,5.136
120,10.395
220,14.392
57,3.887
46,3.228
5,0.933
70,5.937
40,1.126
242,20.159
400,33.871
840,51.966
157,13.313
240,20.247
440,28.013
114,9.741
160,13.331
93,7.930
140,8.974
80,6.757
484,40.436
800,66.072
1680,103.475
314,26.463
480,40.591
880,54.157
229,19.342
320,26.215
186,15.822
173,11.080
280,17.688
968,79.786
1600,97.864
2560,207.494
628,52.094
960,78.805
1360,111.407
458,38.294
640,52.887
373,31.282
560,34.798
