op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
dec-embedding,1908.493,958.109,0.031,40.000,72.500,40.072,139.928,340.000
dec-self-attention,2608.824,3774.166,40.000,40.000,12.500,108.067,0.000,180.000
dec-mlp,2648.163,3087.902,40.000,40.000,25.000,160.065,0.000,120.000
dec-post-process,5858.278,5605.125,40.000,0.000,62.500,440.167,539.833,0.000
