data_size(MB),time(ms)
8,0.686
48,5.309
80,8.716
408,16.635
30,3.495
208,8.669
21,2.583
11,1.662
108,11.680
16,2.217
24,2.852
58,6.438
96,13.478
160,11.962
816,32.977
60,8.487
416,16.945
42,6.017
64,4.943
216,9.000
33,4.867
116,12.483
32,3.722
192,26.557
320,13.141
1632,65.524
120,16.708
832,33.665
84,11.821
128,13.727
400,16.331
66,9.327
232,9.580
384,18.700
640,30.821
3136,1000000000.000
240,11.753
1664,66.952
52,7.384
256,12.603
132,18.347
464,18.890
