data_size(MB),time(ms)
20,0.749
121,2.656
200,3.627
420,6.865
78,1.725
120,2.421
220,3.961
57,1.627
46,1.135
5,0.579
70,1.477
40,1.145
242,6.914
400,6.586
840,12.894
157,3.226
240,4.154
440,7.174
114,2.447
160,3.002
93,2.285
140,2.917
80,1.583
484,8.164
800,12.288
1680,25.138
314,5.524
480,7.861
880,17.307
229,4.393
320,5.376
186,3.539
173,3.399
280,5.102
968,15.580
1600,23.874
2560,38.456
628,10.304
960,14.881
1360,20.691
458,7.904
640,10.061
373,6.425
560,9.250
