op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
dec-embedding,6769.609,3460.407,0.062,160.000,145.000,-379.898,559.898,880.000
dec-self-attention,10022.449,12511.110,160.000,160.000,50.000,458.129,121.871,640.000
dec-mlp,12001.657,15324.211,160.000,160.000,100.000,640.128,99.872,580.000
dec-post-process,15454.292,18912.125,160.000,0.000,125.000,960.332,979.668,0.000
