data_size(MB),time(ms)
10,1.052
60,5.059
100,8.092
410,28.121
38,2.905
210,14.617
27,2.394
110,9.299
21,1.745
30,2.213
20,1.112
120,9.395
200,15.727
820,47.233
76,6.709
420,24.603
54,5.006
80,6.355
220,13.301
43,4.097
40,1.506
240,16.845
400,27.924
1640,1000000000.000
152,11.811
840,48.550
108,8.460
160,11.844
440,25.584
86,7.158
480,33.685
800,55.822
3280,1000000000.000
304,21.886
1680,1000000000.000
216,12.796
320,21.066
830,47.989
172,13.555
195,5.352
