op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
dec-embedding,3441.763,2014.256,0.031,80.000,145.000,80.072,259.928,700.000
dec-self-attention,4971.170,6199.598,80.000,80.000,50.000,229.067,0.000,360.000
dec-mlp,6134.748,7819.176,80.000,80.000,100.000,320.065,19.935,320.000
dec-post-process,7721.090,9107.828,80.000,0.000,125.000,480.167,419.833,0.000
