data_size(MB),time(ms)
10,0.901
60,5.311
100,8.423
410,30.986
38,3.621
210,16.218
27,2.766
110,8.748
21,2.296
30,2.991
20,1.002
120,9.979
200,16.311
820,1000000000.000
76,6.584
420,27.801
54,4.967
80,6.961
220,15.113
43,3.977
40,1.187
240,19.510
400,31.711
1640,1000000000.000
152,12.796
840,1000000000.000
108,8.512
160,12.963
440,25.239
86,7.244
480,38.224
800,1000000000.000
3280,1000000000.000
304,24.532
1680,1000000000.000
216,14.654
320,25.609
830,1000000000.000
172,14.015
195,7.517
