op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
dec-embedding,2271.557,1472.902,0.031,80.000,82.500,80.072,259.928,340.000
dec-self-attention,3297.567,3957.939,80.000,80.000,25.000,186.567,53.433,280.000
dec-mlp,3599.977,4688.835,80.000,80.000,50.000,173.999,26.001,280.000
dec-post-process,4173.374,4854.774,80.000,0.000,62.500,280.167,139.833,0.000
