data_size(MB),time(ms)
16,1.471
96,8.274
160,13.331
416,26.006
62,4.157
216,13.722
45,3.533
64,5.462
116,7.526
36,2.698
48,3.328
66,5.872
32,3.014
192,16.339
320,26.215
832,51.367
124,10.574
432,27.018
90,7.726
128,10.720
232,14.746
73,6.432
132,11.245
384,32.230
640,52.887
1664,101.790
248,21.195
864,53.239
180,15.496
256,21.536
464,29.051
146,12.596
264,16.747
768,63.659
1280,104.846
3328,203.187
496,41.494
608,49.519
1728,105.650
360,30.228
928,57.167
292,24.575
528,32.773
