data_size(MB),time(ms)
20,1.890
121,11.348
200,19.215
420,39.930
78,7.408
120,11.193
220,21.199
57,5.555
46,4.605
5,0.898
70,6.646
40,3.301
242,23.149
400,37.680
840,1000000000.000
157,14.961
240,23.123
440,41.691
114,10.626
160,15.231
93,8.670
140,13.029
80,7.465
484,45.728
800,1000000000.000
1680,1000000000.000
314,29.829
480,45.420
880,1000000000.000
229,21.963
320,30.355
186,17.746
173,16.339
280,26.825
968,1000000000.000
1600,1000000000.000
2560,1000000000.000
628,1000000000.000
960,1000000000.000
1360,1000000000.000
458,43.793
640,1000000000.000
373,36.124
560,1000000000.000
