data_size(MB),time(ms)
16,2.012
96,8.170
160,12.933
416,27.371
62,5.444
216,14.716
45,4.134
116,7.922
36,3.482
11,1.512
66,5.709
32,3.174
192,15.671
320,25.528
832,1000000000.000
124,10.391
432,24.883
90,7.647
128,10.878
232,13.665
73,6.365
132,11.015
64,5.540
384,30.853
640,1000000000.000
1664,1000000000.000
248,20.031
864,1000000000.000
180,14.562
256,20.630
464,35.068
146,12.037
264,15.480
768,1000000000.000
1280,1000000000.000
3328,1000000000.000
496,39.302
608,1000000000.000
1728,1000000000.000
360,28.927
928,1000000000.000
292,23.455
528,1000000000.000
