data_size(MB),time(ms)
16,1.986
96,13.753
160,12.879
416,43.206
62,6.664
216,22.673
45,4.925
64,5.222
116,12.325
36,4.037
48,5.217
66,9.488
32,3.629
192,27.313
320,33.348
832,85.761
124,17.726
432,44.864
90,12.868
128,13.575
232,24.425
73,10.483
132,18.937
384,53.975
640,89.190
1664,171.045
248,34.972
864,89.145
180,25.544
256,36.324
464,48.132
146,20.788
264,27.620
768,106.825
1280,177.138
3328,341.257
496,69.217
608,84.363
1728,177.623
360,50.610
928,95.677
292,41.223
528,54.616
