data_size(MB),time(ms)
20,1.002
121,10.390
200,16.311
420,27.801
78,6.771
120,9.979
220,15.113
57,5.204
46,4.585
5,1.268
70,5.872
40,1.187
242,19.908
400,31.711
840,1000000000.000
157,13.242
240,19.510
440,25.239
114,9.660
160,12.963
93,7.973
140,9.720
80,6.961
484,38.547
800,1000000000.000
1680,1000000000.000
314,25.198
480,38.224
880,1000000000.000
229,18.676
320,25.609
186,15.210
173,11.864
280,16.451
968,1000000000.000
1600,1000000000.000
2560,1000000000.000
628,1000000000.000
960,1000000000.000
1360,1000000000.000
458,36.414
640,1000000000.000
373,29.982
560,1000000000.000
