data_size(MB),time(ms)
20,0.744
121,13.045
200,17.760
420,25.249
78,8.448
120,12.010
220,15.641
57,6.307
46,5.342
5,1.194
70,7.565
40,0.882
242,21.541
400,31.879
840,10.903
157,15.170
240,22.073
440,6.056
114,13.265
160,15.445
93,9.983
140,11.064
80,8.428
484,37.853
800,60.849
1680,125.672
314,25.851
480,38.983
880,12.772
229,20.092
320,25.814
186,17.749
173,13.202
280,4.502
968,76.024
1600,20.009
2560,193.794
628,50.510
960,72.797
1360,103.697
458,37.226
640,48.989
373,30.565
560,43.207
