data_size(MB),time(ms)
16,1.516
96,7.295
160,12.326
416,31.891
62,5.050
216,16.676
45,3.635
64,4.947
116,8.876
36,3.017
48,3.964
66,5.096
32,2.687
192,15.044
320,25.035
832,63.643
124,9.593
432,34.100
90,6.922
128,9.832
232,18.096
73,5.646
132,10.138
384,30.053
640,49.895
1664,1000000000.000
248,19.228
864,66.562
180,13.911
256,20.163
464,35.559
146,11.259
264,20.411
768,58.470
1280,1000000000.000
3328,1000000000.000
496,38.139
608,46.390
1728,1000000000.000
360,27.931
928,71.192
292,22.482
528,41.051
