op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
dec-embedding,1270.962,870.466,0.016,40.000,82.500,40.037,139.963,360.000
dec-self-attention,1756.859,2071.619,40.000,40.000,25.000,93.286,6.714,140.000
dec-mlp,1967.859,2630.520,40.000,40.000,50.000,120.034,0.000,60.000
dec-post-process,2191.114,2797.508,40.000,-0.008,62.500,140.085,39.915,0.000
