data_size(MB),time(ms)
16,2.217
96,13.478
160,11.962
416,16.945
62,6.817
216,9.000
45,5.124
64,4.943
116,12.483
36,4.128
48,5.309
66,9.327
32,3.722
192,26.557
320,13.141
832,33.665
124,17.307
432,17.601
90,12.607
128,13.727
232,9.580
73,10.278
132,18.347
384,18.700
640,30.821
1664,66.952
248,12.140
864,34.918
180,24.968
256,12.603
464,18.890
146,20.246
264,10.946
768,37.098
1280,61.043
3328,1000000000.000
496,24.163
608,29.318
1728,69.407
360,17.506
928,37.551
292,14.265
528,21.434
