data_size(MB),time(ms)
16,2.001
96,8.987
160,15.142
416,39.581
62,5.994
216,20.795
45,4.468
116,10.708
36,3.797
11,1.545
66,6.233
32,3.342
192,18.360
320,30.601
832,1000000000.000
124,11.522
432,40.925
90,8.347
128,11.987
232,22.330
73,6.851
132,12.391
64,6.088
384,36.254
640,1000000000.000
1664,1000000000.000
248,23.693
864,1000000000.000
180,17.108
256,24.437
464,43.964
146,13.885
264,25.352
768,1000000000.000
1280,1000000000.000
3328,1000000000.000
496,46.772
1728,1000000000.000
360,34.203
928,1000000000.000
292,27.822
528,1000000000.000
