op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
dec-embedding,10000000.000,10000000.000,0.031,16.000,104.000,10000000.000,10000000.000,10000000.000
dec-self-attention,10000000.000,10000000.000,16.000,16.000,8.000,10000000.000,10000000.000,10000000.000
dec-mlp,10000000.000,10000000.000,16.000,16.000,16.000,10000000.000,10000000.000,10000000.000
dec-post-process,10000000.000,10000000.000,16.000,-0.016,100.000,10000000.000,10000000.000,10000000.000
