search_time (s),config time (ms)
0,51689.28331844604
1,37689.00454244605
2,37360.38665594812
3,34766.263856571975
4,33722.2301383694
5,31725.551614712545
9,31719.169721712544
12,31717.92347803477
15,31712.91897703477
35,31712.91897703477
48,31714.165220712544
49,31714.165220712544
61,31712.91897703477
74,31712.91897703477
75,31714.165220712544
86,31712.91897703477
94,31712.91897703477
102,31712.91897703477
112,31717.92347803477
114,31717.92347803477
115,31717.92347803477
118,31717.92347803477
119,31717.92347803477
120,31717.92347803477
126,31712.91897703477
127,31717.92347803477
142,31712.91897703477
148,31712.91897703477
156,31712.91897703477
166,31712.91897703477
171,31717.92347803477
172,31717.92347803477
177,31712.91897703477
182,31712.91897703477
186,31718.737151988003
192,31718.737151988003
193,31718.737151988003
201,31718.737151988003
207,31730.123545988004
208,31730.123545988004
209,31730.123545988004
216,31742.40769508105
221,31738.649437758824
222,31742.40769508105
228,31738.649437758824
229,31742.40769508105
230,31742.40769508105
231,31742.40769508105
232,31743.653938758824
233,31743.653938758824
234,31743.653938758824
235,31743.653938758824
236,31747.412196081048
237,31747.412196081048
238,31747.412196081048
239,31747.412196081048
240,31747.412196081048
241,31747.412196081048
242,31748.78958808105
243,31748.78958808105
244,31750.035831758825
245,31753.79408908105
246,31753.79408908105
247,31755.040332758825
248,31755.040332758825
249,31871.22730209308
250,31871.22730209308
251,31871.22730209308
252,31871.22730209308
253,31871.22730209308
254,31871.22730209308
255,31871.22730209308
256,31871.22730209308
257,31871.22730209308
258,31871.22730209308
259,31871.22730209308
260,31871.22730209308
261,32219.4754843694
262,32219.4754843694
263,32219.4754843694
264,32219.4754843694
265,32219.4754843694
266,32219.4754843694
267,32219.4754843694
268,32219.4754843694
269,32219.4754843694
270,32219.4754843694
271,32219.4754843694
272,32219.4754843694
273,32219.4754843694
274,32219.4754843694
275,32219.4754843694
276,32219.4754843694
277,32219.4754843694
278,32219.4754843694
279,32219.4754843694
280,32219.4754843694
281,32219.4754843694
282,32219.4754843694
283,32219.4754843694
284,32219.4754843694
