search_time (s),config time (ms)
0,57660.14716224476
1,47081.647045244754
2,31132.36047230149
3,29461.788031011674
26,29461.788031011674
42,29475.464153359386
53,29475.464153359386
62,29685.134937428782
69,29685.134937428782
78,29685.134937428782
79,29685.134937428782
80,29685.134937428782
81,29685.134937428782
82,29685.134937428782
83,29685.134937428782
90,29686.757285136904
91,29686.757285136904
96,29686.757285136904
114,30839.22022235939
133,30840.579253011674
134,30840.579253011674
143,30842.201600719796
154,30840.579253011674
165,30840.579253011674
174,30842.201600719796
180,30852.061730011672
184,30853.684077719794
200,30852.061730011672
210,30854.25537535939
218,30852.061730011672
219,30852.061730011672
220,30855.350454265514
221,30856.972801973636
222,30856.972801973636
223,30865.737852359387
224,30869.02657661323
225,30869.02657661323
226,30869.02657661323
227,30928.98770057969
228,30928.98770057969
229,30928.98770057969
230,30928.98770057969
231,30928.98770057969
232,30928.98770057969
233,30928.98770057969
234,31075.408636428787
235,31075.408636428787
236,31077.03098413691
237,31115.379344932247
238,31129.916743852973
239,31129.916743852973
240,31129.916743852973
241,31132.36047230149
242,31132.36047230149
243,31132.36047230149
244,31132.36047230149
245,31196.232620917315
246,31196.232620917315
247,31196.232620917315
248,31196.232620917315
249,31196.232620917315
250,31196.232620917315
251,31196.232620917315
252,31196.232620917315
253,31196.232620917315
254,31198.676349365833
255,31198.676349365833
256,31198.676349365833
257,31198.676349365833
258,31198.676349365833
259,31198.676349365833
260,31198.676349365833
261,31274.704778232088
262,31535.732223157316
263,31536.730103866557
264,31536.730103866557
265,31536.730103866557
266,31536.730103866557
267,31536.730103866557
268,31536.730103866557
269,31536.730103866557
270,31536.730103866557
271,31536.730103866557
272,31536.730103866557
273,31536.730103866557
274,31536.730103866557
275,31537.986020338285
276,31537.986020338285
277,31537.986020338285
278,31537.986020338285
279,31537.986020338285
280,31539.247541195513
281,31539.247541195513
282,31543.719817157315
283,31543.719817157315
284,31543.719817157315
285,31543.719817157315
286,31544.717697866556
287,31544.717697866556
288,31544.717697866556
289,31544.717697866556
