search_time (s),config time (ms)
0,47817.80532647956
1,40237.85116958461
2,32084.179719666223
3,31845.340235884752
4,31774.794688319085
5,31077.748747843365
15,31077.748747843365
20,31077.748747843365
29,31077.748747843365
37,31077.748747843365
42,31079.371095551487
43,31079.371095551487
49,31077.748747843365
50,31079.371095551487
56,31079.371095551487
57,31079.371095551487
58,31079.371095551487
62,31081.037472097207
66,31081.037472097207
73,31081.037472097207
74,31081.037472097207
75,31081.037472097207
76,31081.037472097207
86,31094.713594444922
98,31091.42487019108
102,31066.266270843364
111,31066.266270843364
116,31289.61317726048
122,31066.266270843364
128,31678.659102083082
129,31678.659102083082
132,31678.659102083082
133,31678.659102083082
137,31678.659102083082
138,31678.659102083082
144,31680.297334925323
153,31675.217492925323
160,31066.266270843364
167,31699.092667628192
173,31066.266270843364
177,31699.092667628192
181,31699.092667628192
186,31066.266270843364
195,31066.266270843364
201,31079.94239319108
202,31702.53427678595
203,31702.53427678595
204,31702.53427678595
205,31702.53427678595
210,31702.53427678595
217,31066.266270843364
221,31702.53427678595
228,31702.53427678595
229,31702.53427678595
230,31702.53427678595
236,31289.61317726048
237,31704.17250962819
238,31704.17250962819
239,31704.17250962819
240,31704.17250962819
241,31705.511849628194
242,31713.4442601951
243,31716.88586935286
244,31716.88586935286
245,31716.88586935286
246,31716.88586935286
247,31717.213155540503
248,31717.213155540503
249,31718.5241021951
250,31718.5241021951
251,31718.5241021951
252,31718.5241021951
253,31718.5241021951
254,31718.5241021951
255,31718.5241021951
256,31718.5241021951
257,31718.5241021951
258,31724.9432841951
259,31724.9432841951
260,31724.9432841951
261,31724.9432841951
262,31724.943284195102
263,31763.312211319084
264,31763.312211319084
265,31763.312211319084
266,31763.312211319084
267,31766.600935572926
268,31774.794688319085
269,31774.794688319085
270,31774.794688319085
271,31774.794688319085
272,31774.794688319085
273,31774.794688319085
274,31776.417036027207
275,31776.417036027207
276,31776.417036027207
277,31776.417036027207
278,31776.417036027207
279,31776.417036027207
280,31776.417036027207
281,31778.083412572923
