stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,25364.50,24783.88,23683.95,1099.93
stage-1,28123.92,23603.70,23003.70,600.00
stage-2,28123.92,21003.17,20403.17,600.00
stage-3,28123.92,18402.64,17802.64,600.00
stage-4,30907.83,18302.37,17602.37,700.00
stage-5,31816.32,14371.78,13721.78,650.00
stage-6,30907.83,12301.19,11601.19,700.00
stage-7,32430.19,9900.56,9200.56,700.00
