stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,28141.67,44106.35,42646.35,1460.00
stage-1,29741.61,45724.62,43124.62,2600.00
stage-2,28063.15,23092.00,21842.00,1250.00
