stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,28893.10,39326.54,38086.54,1240.00
stage-1,29145.47,31825.01,30805.14,1019.87
stage-2,31003.94,35354.75,34004.75,1350.00
stage-3,31003.94,29553.56,28203.56,1350.00
stage-4,26296.13,13821.67,12801.80,1019.87
stage-5,28734.82,12940.84,11920.97,1019.87
