stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,107693.78,52649.74,48529.74,4120.00
stage-1,113732.89,46603.37,42803.37,3800.00
stage-2,113995.50,54730.36,49430.36,5300.00
stage-3,99441.48,62150.43,55650.43,6500.00
