stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,90640.61,54432.56,50912.56,3520.00
stage-1,96632.39,49754.32,46554.32,3200.00
stage-2,89742.63,43251.75,40251.75,3000.00
stage-3,89742.63,40001.40,37001.40,3000.00
stage-4,89742.63,36751.05,33751.05,3000.00
stage-5,89742.63,33500.70,30500.70,3000.00
stage-6,96464.41,60229.41,53929.41,6300.00
