stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,107413.48,52649.74,48529.74,4120.00
stage-1,113405.27,46603.37,42803.37,3800.00
stage-2,113787.48,54730.36,49430.36,5300.00
stage-3,99604.37,62150.43,55650.43,6500.00
