stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,123962.42,47011.60,43741.60,3270.00
stage-1,123152.89,38720.86,35720.86,3000.00
stage-2,126456.65,64671.49,58421.49,6250.00
