stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,90870.00,54432.56,50912.56,3520.00
stage-1,96909.11,49754.32,46554.32,3200.00
stage-2,89963.03,43251.75,40251.75,3000.00
stage-3,89963.03,40001.40,37001.40,3000.00
stage-4,89963.03,36751.05,33751.05,3000.00
stage-5,89963.03,33500.70,30500.70,3000.00
stage-6,96322.92,60229.41,53929.41,6300.00
