stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,90465.46,51182.20,47662.20,3520.00
stage-1,89567.48,43251.75,40251.75,3000.00
stage-2,89567.48,40001.40,37001.40,3000.00
stage-3,89567.48,36751.05,33751.05,3000.00
stage-4,95459.86,62502.82,56302.82,6200.00
stage-5,96289.27,60229.41,53929.41,6300.00
