stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,90296.88,47931.83,44411.83,3520.00
stage-1,89398.90,40001.40,37001.40,3000.00
stage-2,91753.69,63691.17,57691.17,6000.00
stage-3,95291.28,62502.82,56302.82,6200.00
stage-4,96120.68,60229.41,53929.41,6300.00
