stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,90524.86,47931.83,44411.83,3520.00
stage-1,89617.89,40001.40,37001.40,3000.00
stage-2,91869.34,63691.17,57691.17,6000.00
stage-3,95386.65,62502.82,56302.82,6200.00
stage-4,95977.79,60229.41,53929.41,6300.00
